,word,sensorimotor_mod,modality,question
2,refomped,0.53298634,Foot_leg,Foot_leg.4
3,squeasts,0.031194605,Foot_leg,Foot_leg.4
4,spaightness,0.06873383,Foot_leg,Foot_leg.4
5,saglidity,0.40026793,Foot_leg,Foot_leg.4
6,erpechitades,-0.014032617,Foot_leg,Foot_leg.4
0,sweadles,0.75253856,Hand_arm,Hand_arm.1
1,quiprigraphy,0.63930655,Hand_arm,Hand_arm.1
2,trilching,0.6356467,Hand_arm,Hand_arm.1
3,grumbered,0.069487154,Hand_arm,Hand_arm.1
4,dispights,0.12862228,Hand_arm,Hand_arm.1
5,menniated,0.2517262,Hand_arm,Hand_arm.1
6,squeasts,0.020699378,Hand_arm,Hand_arm.1
0,rechetsel,0.63098305,Hand_arm,Hand_arm.2
1,wrartering,0.62784344,Hand_arm,Hand_arm.2
2,pragingness,0.62752247,Hand_arm,Hand_arm.2
3,zimbazza,0.22252603,Hand_arm,Hand_arm.2
4,chaspection,0.09006275,Hand_arm,Hand_arm.2
5,sauging,0.13971774,Hand_arm,Hand_arm.2
6,raruting,0.3717487,Hand_arm,Hand_arm.2
0,cacqueting,0.61441714,Hand_arm,Hand_arm.3
1,shoquets,0.6074789,Hand_arm,Hand_arm.3
2,concinging,0.60667944,Hand_arm,Hand_arm.3
3,liechersedding,0.330668,Hand_arm,Hand_arm.3
4,urerrivuration,0.21685357,Hand_arm,Hand_arm.3
5,tyvuniated,0.28240842,Hand_arm,Hand_arm.3
6,fifuffies,0.2478606,Hand_arm,Hand_arm.3
0,encrocing,0.6050645,Hand_arm,Hand_arm.4
1,prynching,0.60415816,Hand_arm,Hand_arm.4
2,repufling,0.6025213,Hand_arm,Hand_arm.4
3,urpharities,0.101135686,Hand_arm,Hand_arm.4
4,boincole,0.20640413,Hand_arm,Hand_arm.4
5,femiture,0.15375306,Hand_arm,Hand_arm.4
6,diruditions,0.06057709,Hand_arm,Hand_arm.4
0,spaightness,0.754415,Head,Head.1
1,obsightness,0.7282701,Head,Head.1
2,dispights,0.7249948,Head,Head.1
3,urpharities,0.22001876,Head,Head.1
4,fluckles,0.4426143,Head,Head.1
5,bambeagna,0.355068,Head,Head.1
6,repufling,0.39524814,Head,Head.1
0,frumbered,0.72124165,Head,Head.2
1,recightlectly,0.7154912,Head,Head.2
2,chaspection,0.7129525,Head,Head.2
3,zimbazza,0.2884425,Head,Head.2
4,erpechitades,0.30651405,Head,Head.2
5,covigating,0.4193649,Head,Head.2
6,snially,0.33608064,Head,Head.2
0,bicrinations,0.697117,Head,Head.3
1,enrogiciously,0.68762434,Head,Head.3
2,grumbered,0.67923796,Head,Head.3
3,fifuffies,0.27639523,Head,Head.3
4,urreocatry,0.22436826,Head,Head.3
5,menniated,0.3143819,Head,Head.3
6,liechersedding,0.42234746,Head,Head.3
0,diruditions,0.6640064,Head,Head.4
1,sauging,0.6629749,Head,Head.4
2,risitating,0.6621543,Head,Head.4
3,conscrastions,0.46059963,Head,Head.4
4,raruting,0.40353215,Head,Head.4
5,scuptitally,0.2664002,Head,Head.4
6,phongishments,0.40627158,Head,Head.4
0,fifuffies,0.84762245,Mouth,Mouth.1
1,fluckles,0.8316367,Mouth,Mouth.1
2,squeanings,0.8245459,Mouth,Mouth.1
3,shoquets,0.1345746,Mouth,Mouth.1
4,raruting,0.18963277,Mouth,Mouth.1
5,prynching,0.06522305,Mouth,Mouth.1
6,sauging,0.14419205,Mouth,Mouth.1
0,ancechuttos,0.80455244,Mouth,Mouth.2
1,erpechitades,0.78265953,Mouth,Mouth.2
2,phongishments,0.7812286,Mouth,Mouth.2
3,bicrinations,0.18348718,Mouth,Mouth.2
4,concinging,0.17878942,Mouth,Mouth.2
5,scuptitally,0.12128568,Mouth,Mouth.2
6,ataulting,0.15810081,Mouth,Mouth.2
0,bambeagna,0.77951777,Mouth,Mouth.3
1,boincole,0.7713749,Mouth,Mouth.3
2,squeasts,0.75884265,Mouth,Mouth.3
3,frumbered,0.1596216,Mouth,Mouth.3
4,chaspection,0.21619304,Mouth,Mouth.3
5,fereniration,0.2368675,Mouth,Mouth.3
6,enrogiciously,0.27240083,Mouth,Mouth.3
0,snially,0.7575769,Mouth,Mouth.4
1,conscrastions,0.7560132,Mouth,Mouth.4
2,zimbazza,0.7488281,Mouth,Mouth.4
3,saglidity,0.120568946,Mouth,Mouth.4
4,urerrivuration,0.15489636,Mouth,Mouth.4
5,risitating,0.24793337,Mouth,Mouth.4
6,obsightness,0.24728431,Mouth,Mouth.4
0,tyvuniated,0.6006588,Torso,Torso.1
1,urpharities,0.58434117,Torso,Torso.1
2,fereniration,0.5636598,Torso,Torso.1
3,sweadles,0.15832782,Torso,Torso.1
4,prebicing,0.34750956,Torso,Torso.1
5,risitating,0.060873576,Torso,Torso.1
6,concinging,0.22556314,Torso,Torso.1
0,veysurition,0.5327877,Torso,Torso.2
1,fepupirition,0.5390681,Torso,Torso.2
2,saglidity,0.5384574,Torso,Torso.2
3,fifuffies,0.1509976,Torso,Torso.2
4,bambeagna,0.12568973,Torso,Torso.2
5,erpechitades,0.11283696,Torso,Torso.2
6,trambings,0.31043214,Torso,Torso.2
0,femiture,0.5553682,Torso,Torso.3
1,chrotutation,0.53230953,Torso,Torso.3
2,menniated,0.52943087,Torso,Torso.3
3,raruting,0.36102894,Torso,Torso.3
4,snially,0.11810924,Torso,Torso.3
5,pragingness,0.3467451,Torso,Torso.3
6,enrogiciously,0.13301276,Torso,Torso.3
0,scuptitally,0.5292481,Torso,Torso.4
1,urreocatry,0.52828074,Torso,Torso.4
2,urerrivuration,0.52559614,Torso,Torso.4
3,refomped,0.30607036,Torso,Torso.4
4,flompled,0.27805808,Torso,Torso.4
5,shoquets,0.1740167,Torso,Torso.4
6,ancechuttos,0.109307244,Torso,Torso.4
